;Stopkode;Pos.nr.;Kode til stoppunkt;Short name;Længdegrad;Breddegrad;Long name;GPS-radius;Oprettet;UTM32_Easting;UTM32_Northing
8581;77700011;2;777000112;DURUPKIRKE;8,95559760;56,74408390;Durup Kirke (Skive kom);50;05/07/2022;497284;6288900
8582;77700020;1;777000201;GLYNGØRE;8,86859046;56,76210466;Glyngøre (Skive kom);50;05/07/2022;491966;6290912
8583;77700020;2;777000202;GLYNGØRE;8,86871408;56,76218813;Glyngøre (Skive kom);50;05/07/2022;491973;6290922
8584;77700022;1;777000221;LYNGBAKKEN;8,87121692;56,75338957;Lyngbakken/Glyngøre (Skive kom);50;05/07/2022;492125;6289942
8585;77700022;2;777000222;LYNGBAKKEN;8,87101033;56,75339932;Lyngbakken/Glyngøre (Skive kom);50;05/07/2022;492112;6289943
8586;77700023;1;777000231;GLYN SKOLE;8,87184303;56,75674424;Glyngøre skole (Skive kom);50;05/07/2022;492164;6290315
8587;77700023;2;777000232;GLYN SKOLE;8,87145116;56,75694447;Glyngøre skole (Skive kom);50;05/07/2022;492140;6290338
8588;77700024;1;777000241;INDUSTRIV;8,87035338;56,75850384;Industrivej/Glyngøre (Skive kom);50;05/07/2022;492073;6290511
8589;77700024;2;777000242;INDUSTRIV;8,87019781;56,75840843;Industrivej/Glyngøre (Skive kom);50;05/07/2022;492063;6290501
8590;77700025;1;777000251;DURUPVEJ;8,87724189;56,76096588;Durupvej/Glyngøre (Skive kom);50;05/07/2022;492494;6290784
8591;77700025;2;777000252;DURUPVEJ;8,87738057;56,76104543;Durupvej/Glyngøre (Skive kom);50;05/07/2022;492503;6290793
8592;77700030;2;777000302;BYSTED;8,91964238;56,75251429;Bysted (Skive kom);50;05/07/2022;495086;6289840
8593;77700030;9;777000309;BYSTED;8,91980638;56,75238694;Bysted (Skive kom);50;05/07/2022;495096;6289826
8594;77700040;1;777000401;SUNDHØJ;8,86894057;56,74147894;Sundhøj/Glyngøre (Skive kom);50;05/07/2022;491983;6288616
8595;77700040;2;777000402;SUNDHØJ;8,86873714;56,74109022;Sundhøj/Glyngøre (Skive kom);50;05/07/2022;491970;6288573
8596;77700050;1;777000501;ÅSTEDVEJ;8,95353643;56,74423173;Åstedvej/Durup (Skive kom);50;05/07/2022;497158;6288916
8597;77700050;2;777000502;ÅSTEDVEJ;8,95371477;56,74435767;Åstedvej/Durup (Skive kom);50;05/07/2022;497169;6288930
8598;77700070;1;777000701;HJERK;8,92142718;56,69133172;Hjerk (Skive kom);50;05/07/2022;495187;6283030
8599;77700070;2;777000702;HJERK;8,92127342;56,69145372;Hjerk (Skive kom);50;05/07/2022;495178;6283043
8600;77700080;1;777000801;BAJLUM;8,94245326;56,69408089;Bajlum (Skive kom);50;05/07/2022;496475;6283334
8601;77700080;8;777000808;BAJLUM;8,94242747;56,69408264;Bajlum (Skive kom);50;05/07/2022;496473;6283334
8602;77700080;9;777000809;BAJLUM;8,94651562;56,69340067;Bajlum (Skive kom);50;05/07/2021;496724;6283258
8603;77700090;9;777000909;TOUSTRUPVE;8,94830777;56,73098662;Toustrupvej (Skive kom);50;05/07/2022;496837;6287442
8604;77700110;1;777001101;HARRE;8,92537607;56,71344475;Harre (Skive kom);50;05/07/2022;495431;6285491
8605;77700110;2;777001102;HARRE;8,92566805;56,71324889;Harre (Skive kom);50;05/07/2022;495449;6285469
8606;77700130;1;777001301;TØNDERING;8,97866097;56,74010298;Tøndering (Skive kom);50;05/07/2022;498694;6288456
8607;77700130;2;777001302;TØNDERING;8,97880808;56,74016146;Tøndering (Skive kom);50;05/07/2022;498703;6288462
8608;77700130;9;777001309;TØNDERING;8,97900696;56,74050001;Tøndering (Skive kom);50;05/07/2022;498715;6288500
8609;77700160;1;777001601;VIUMVEJ;8,97985092;56,70319688;Viumvej/Sallingsundvej (Skive kom);50;05/07/2022;498766;6284348
8610;77700160;2;777001602;VIUMVEJ;8,98054399;56,70308402;Viumvej/Sallingsundvej (Skive kom);50;05/07/2022;498808;6284335
8611;77707900;1;777079001;ENGEN;8,99148613;56,70111717;Engen/Rybjergvej (Skive kom);50;05/07/2022;499478;6284116
8612;77707900;2;777079002;ENGEN;8,99219895;56,70123194;Engen/Rybjergvej (Skive kom);50;05/07/2022;499522;6284129
8613;77707910;1;777079101;ROSLEVSKOL;8,98599166;56,70128555;Roslev Skole/Sallingsundvej (Skive kom);50;05/07/2022;499142;6284135
8614;77707910;2;777079102;ROSLEVSKOL;8,98571542;56,70152046;Roslev Skole/Sallingsundvej (Skive kom);50;05/07/2022;499125;6284161
8615;77707910;9;777079109;ROSLEVSKOL;8,98770923;56,70181609;Roslev Skole/Grønnegade (Skive kom);50;09/03/2022;499247;6284194
8616;77707930;2;777079302;ROSLEV SKO;8,98772144;56,70184774;NEDLAGT 29/4-21 Roslev Skole (Skive kom);50;05/07/2022;499248;6284197
8617;77707930;9;777079309;ROSLEV SKO;8,98772736;56,70180356;NEDLAGT 29/4-21 Roslev Skole (Skive kom);50;05/07/2022;499248;6284192
8618;77900010;1;779000101;HØJSLEVBRU;9,10913100;56,55078008;HøjslevV/Brugsen (Skive kom);50;05/07/2022;506709;6267387
8619;77900010;2;779000102;HØJSLEVBRU;9,10903000;56,55069828;HøjslevV/Brugsen (Skive kom);50;05/07/2022;506702;6267378
8620;77900011;1;779000111;RUGBAKKEN;9,09073917;56,55295876;Rugbakken/Viborgvej (skive kom);50;05/07/2022;505578;6267628
8621;77900011;2;779000112;RUGBAKKEN;9,08898064;56,55315381;Rugbakken/Viborgvej (skive kom);50;05/07/2022;505470;6267650
8622;77900012;1;779000121;VIBORGV124;9,09736103;56,55240678;Viborgvej 124 (Skive kom);50;05/07/2022;505985;6267567
8623;77900012;2;779000122;VIBORGV124;9,09768280;56,55249109;Viborgvej 124 (Skive kom);50;05/07/2022;506005;6267577
8624;77900013;1;779000131;BAKKEVEJ;9,10215402;56,55200516;Bakkevej/Viborgvej (Skive kom);50;05/07/2022;506280;6267523
8625;77900013;2;779000132;BAKKEVEJ;9,10209827;56,55212775;Bakkevej/Viborgvej (Skive kom);50;05/07/2022;506276;6267537
8626;77900020;2;779000202;DØLBYVAD;9,02026509;56,60810326;Dølbyvad (Skive kom);50;05/07/2022;501243;6273763
8627;77900020;9;779000209;DØLBYVAD;9,02040151;56,60809973;Dølbyvad (Skive kom);50;05/07/2022;501252;6273762
8628;77900030;9;779000309;HAGENS MØL;9,03682908;56,61019225;Hagens Møllevej (Skive Kom);50;05/07/2022;502260;6273996
8629;77900040;1;779000401;NØRREPORT;9,02900282;56,56989588;Nørreport (Skive kom);50;05/07/2022;501782;6269510
8630;77900040;2;779000402;NØRREPORT;9,03000761;56,56992055;Nørreport (Skive kom);50;05/07/2022;501843;6269513
8631;77900041;1;779000411;HAVNEVEJ;9,03411912;56,56979941;Hemmersvej/Havnevej (Skive kom);50;05/07/2022;502096;6269500
8632;77900041;2;779000412;HAVNEVEJ;9,03386775;56,56987109;Hemmersvej/Havnevej (Skive kom);50;05/07/2022;502081;6269508
8633;77900050;1;779000501;NØRRESØBY;9,12516294;56,54507564;Nørre Søby (Skive kom);50;05/07/2022;507695;6266754
8634;77900050;2;779000502;NØRRESØBY;9,12506210;56,54499825;Nørre Søby (Skive kom);50;05/07/2022;507689;6266746
8635;77900051;1;779000511;HØJSLEVGÅR;9,11692000;56,54805528;Højslevgårdsvej/Viborgvej (Skive kom);50;05/07/2022;507188;6267085
8636;77900051;2;779000512;HØJSLEVGÅR;9,11586306;56,54830948;Højslevgårdsvej/Viborgvej (Skive kom);50;05/07/2022;507123;6267113
8637;77900052;1;779000521;KÆRVANG;9,12126782;56,54649165;Kærvang/Viborgvej (Skive kom);50;05/07/2022;507456;6266911
8638;77900052;2;779000522;KÆRVANG;9,12111606;56,54642325;Kærvang/Viborgvej (Skive kom);50;05/07/2022;507446;6266904
8639;77900053;1;779000531;VIBORGV300;9,12778365;56,54413620;Viborgvej 300 (Skive kom);50;05/07/2022;507857;6266650
8640;77900053;2;779000532;VIBORGV300;9,12784067;56,54398261;Viborgvej 300 (Skive kom);50;05/07/2022;507860;6266633
8641;77900060;1;779000601;POSTHUSTOR;9,02635736;56,56455426;Posthustorvet (Skive kom);50;05/07/2022;501619;6268916
8642;77900060;2;779000602;POSTHUSTOR;9,02606355;56,56425429;Posthustorvet (Skive kom);50;05/07/2022;501601;6268882
8643;77900090;1;779000901;SKIVE SEMI;9,01590912;56,55020831;Skive Seminarium (Skive kom);50;05/07/2022;500978;6267319
8644;77900090;2;779000902;SKIVE SEMI;9,01577741;56,55008028;Skive Seminarium (Skive kom);50;05/07/2022;500969;6267304
8645;77900091;1;779000911;JÆGERVEJ;9,01983588;56,54750950;Jægervej/Dalgas Alle (Skive kom);50;05/07/2022;501219;6267018
8646;77900091;2;779000912;JÆGERVEJ;9,02055782;56,54681223;Jægervej/Dalgas Alle (Skive kom);50;05/07/2022;501263;6266941
8647;77900092;1;779000921;TJØRNEVÆNG;9,02305041;56,54433574;Tjørnevænget/Dalgas Alle (Skive kom);50;05/07/2022;501417;6266665
8648;77900092;2;779000922;TJØRNEVÆNG;9,02287070;56,54422709;Tjørnevænget/Dalgas Alle (Skive kom);50;05/07/2022;501406;6266653
8649;77900093;1;779000931;HASSELVGT;9,01426159;56,55229836;Hasselvænget/Dalgas Alle (Skive kom);50;05/07/2022;500876;6267551
8650;77900093;2;779000932;HASSELVGT;9,01414758;56,55201260;Hasselvænget/Dalgas Alle (Skive kom);50;05/07/2022;500869;6267519
8651;77900100;1;779001001;MARIENLYST;9,02533654;56,59696825;Marienlystvej/Produktionsskolen (Skive kom);50;05/07/2022;501555;6272524
8652;77900100;2;779001002;MARIENLYST;9,02540513;56,59709733;Marienlystvej/Produktionsskolen (Skive kom);50;05/07/2022;501559;6272538
